hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name
City Hotel,0,198,2017,August,32,11,0,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,16,NULL,0,Transient,80.1,0,0,Check-Out,13/8/2017,Ronald Rodriguez
City Hotel,0,198,2017,August,32,11,0,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,16,NULL,0,Transient,80.1,0,0,Check-Out,13/8/2017,Barbara Petty
City Hotel,0,80,2017,August,32,6,2,5,3,0,0,BB,ROU,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,9,NULL,0,Transient,237.71,0,0,Check-Out,13/8/2017,Tammie Watson
City Hotel,0,135,2017,August,32,10,0,3,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,155,0,1,Check-Out,13/8/2017,Katrina Finley
City Hotel,0,163,2017,August,32,10,0,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,2,Check-Out,13/8/2017,Alexis Arroyo
City Hotel,0,190,2017,August,32,7,1,5,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,139.5,0,0,Check-Out,13/8/2017,Christopher Henry
City Hotel,0,190,2017,August,32,7,1,5,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,175.5,0,0,Check-Out,13/8/2017,Jamie Brown
City Hotel,0,144,2017,August,32,10,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,1,Check-Out,13/8/2017,Jennifer Murphy
City Hotel,0,199,2017,August,32,6,2,5,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,183.21,0,2,Check-Out,13/8/2017,Thomas Scott
City Hotel,0,18,2017,August,32,10,0,3,2,0,0,BB,CN,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,140.8,0,2,Check-Out,13/8/2017,Brandy Hess
City Hotel,0,144,2017,August,32,10,0,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,130.5,0,1,Check-Out,13/8/2017,Kiara Cunningham
City Hotel,0,144,2017,August,32,10,0,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,121.5,0,1,Check-Out,13/8/2017,Dr. Joseph Young
City Hotel,0,144,2017,August,32,10,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,1,Check-Out,13/8/2017,Amy Alvarez
City Hotel,0,1,2017,August,32,12,0,1,3,0,0,BB,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,14,NULL,0,Transient,240,0,2,Check-Out,13/8/2017,Michael French
City Hotel,0,112,2017,August,32,10,0,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,155,0,0,Check-Out,13/8/2017,Shannon Mccarthy
City Hotel,0,132,2017,August,32,7,1,5,2,0,1,SC,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,125,0,3,Check-Out,13/8/2017,Robert Nielsen
City Hotel,0,42,2017,August,32,10,0,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9,NULL,0,Transient,250,0,1,Check-Out,13/8/2017,Laura Frank
City Hotel,0,308,2017,August,32,7,1,5,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,K,0,No Deposit,9,NULL,0,Transient-Party,98.1,0,1,Check-Out,13/8/2017,Shelby Daniels
City Hotel,0,0,2017,August,33,14,0,0,2,0,0,BB,PRT,Direct,Direct,1,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,0,0,0,Check-Out,14/8/2017,Shawn Thompson
City Hotel,0,87,2017,August,32,9,1,4,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,9,NULL,0,Transient,155,0,0,Check-Out,14/8/2017,Gloria Ali
